"county","party","candidate","votes","home_ownership"
Dale,Republican,Donald Trump,4151,61.1
Cass,Democrat,Hillary Clinton,300,71.8
Judith Basin,Republican,Donald Trump,421,75.4
Henry,Republican,Donald Trump,1778,77.7
Park,Democrat,Bernie Sanders,8,72.1
Taos,Democrat,Bernie Sanders,4325,72.1
Muhlenberg,Democrat,Bernie Sanders,1632,79.1
Jefferson,Democrat,Hillary Clinton,1519,65.5
Cleveland,Democrat,Bernie Sanders,16428,67.4
Lemhi,Republican,Donald Trump,757,71.3
St. Clair,Republican,Donald Trump,8596,81.5
Evangeline,Democrat,Hillary Clinton,1319,67.4
Ouachita,Democrat,Hillary Clinton,8995,60.4
Washakie,Democrat,Hillary Clinton,2,71.7
Clinton,Democrat,Bernie Sanders,4524,80.8
Calhoun,Democrat,Hillary Clinton,499,70.6
Pontotoc,Democrat,Bernie Sanders,2392,66.6
Boone,Democrat,Bernie Sanders,2410,77.0
Aurora,Democrat,Hillary Clinton,150,80.6
Macomb,Republican,Donald Trump,60492,75.5
Newberry,Democrat,Hillary Clinton,2118,71.5
Tallahatchie,Democrat,Hillary Clinton,1341,73.0
Alexandria,Democrat,Hillary Clinton,16281,43.3
Lake,Democrat,Hillary Clinton,49750,75.9
Orange,Republican,Donald Trump,2574,74.6
Oglethorpe,Republican,Donald Trump,1230,77.0
Kleberg,Democrat,Hillary Clinton,1738,57.1
Madison,Republican,Donald Trump,12487,69.9
Calvert,Republican,Donald Trump,6360,81.4
Steuben,Republican,Donald Trump,3973,77.3
Clarendon,Democrat,Hillary Clinton,3564,72.9
Tillamook,Democrat,Bernie Sanders,2207,69.9
Lincoln,Republican,Donald Trump,742,78.7
Richmond,Democrat,Hillary Clinton,2941,64.4
Collier,Republican,Donald Trump,30071,74.1
Houston,Republican,Donald Trump,7091,67.1
Heard,Republican,Donald Trump,1068,76.0
St. Louis County,Democrat,Hillary Clinton,89373,71.0
Jones,Democrat,Bernie Sanders,480,80.2
Cherokee,Democrat,Bernie Sanders,2897,66.5
Orange,Democrat,Bernie Sanders,18096,60.5
Jasper,Democrat,Hillary Clinton,927,71.3
Bolivar,Democrat,Hillary Clinton,3029,56.4
Ulster,Democrat,Bernie Sanders,11572,69.8
Burke,Democrat,Hillary Clinton,1659,70.2
Wilkes,Republican,Donald Trump,734,72.1
Hamilton,Democrat,Hillary Clinton,758,75.1
Greene,Republican,Donald Trump,1555,75.6
Harris,Democrat,Hillary Clinton,156729,56.5
Johnson,Republican,Donald Trump,1075,74.2
Clatsop,Democrat,Bernie Sanders,3334,62.7
Honolulu,Democrat,Bernie Sanders,11458,55.5
Martin,Republican,Donald Trump,1398,80.5
Boone,Republican,Donald Trump,740,77.0
Clay,Democrat,Bernie Sanders,754,82.7
Monterey,Democrat,Hillary Clinton,17126,49.7
Antelope,Republican,Donald Trump,772,75.2
Lafayette,Republican,Donald Trump,2521,59.4
Hawaii,Democrat,Bernie Sanders,5605,65.7
Lewis and Clark,Republican,Donald Trump,6194,72.3
Winston,Democrat,Hillary Clinton,1442,71.3
Dona Ana,Democrat,Hillary Clinton,9097,65.4
Monroe,Democrat,Hillary Clinton,843,63.5
Marion,Republican,Donald Trump,2760,75.0
Woodford,Republican,Ted Cruz,5091,81.6
Grand,Democrat,Bernie Sanders,636,68.0
Marion,Republican,Donald Trump,31370,76.7
Iowa,Democrat,Bernie Sanders,3198,77.3
Jackson,Republican,Donald Trump,582,75.4
Clare,Republican,Donald Trump,1996,80.4
Pinal,Republican,Donald Trump,12182,74.4
Park,Democrat,Bernie Sanders,231,88.5
McDonough,Republican,Donald Trump,1599,61.0
Gilmer,Democrat,Bernie Sanders,643,77.1
Glades,Republican,Donald Trump,632,72.1
Greer,Democrat,Bernie Sanders,332,67.0
Terrell,Democrat,Hillary Clinton,67,72.2
Clinton,Democrat,Bernie Sanders,4301,67.7
